time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20131028:1800,17.34,85.65,0,0,0,337.8,1.24,91,90527
20131028:1900,18.08,79.1,0,0,0,335.6,0.9,70,90491
20131028:2000,17.27,82.9,0,0,0,335.6,1.03,66,90482
20131028:2100,16.91,84.15,0,0,0,335,1.03,74,90455
20131028:2200,16.93,83.4,0,0,0,333.2,0.97,90,90455
20131028:2300,16.8,82.95,0,0,0,323.4,0.97,102,90473
20131029:0000,16.76,82.25,0,0,0,319.8,0.9,110,90527
20131029:0100,16.83,81.2,0,0,0,317.45,0.83,117,90563
20131029:0200,17.92,80.05,152,333.84,80,317.6,0.41,133,90661
20131029:0300,21.85,68.65,367,537.07,139,323,0.21,167,90706
20131029:0400,23.76,54.05,569,680.1,162,332.6,0.41,278,90759
20131029:0500,24.76,46.45,723,756.64,174,340.2,0.83,320,90723
20131029:0600,25.46,43.3,814,802.75,174,345.6,1.03,339,90661
20131029:0700,25.89,42.05,837,838.48,159,349.6,0.69,350,90554
20131029:0800,26.23,41.1,776,817.02,156,352.4,0.48,2,90464
20131029:0900,26.3,40.7,643,750.71,154,359.6,0.28,5,90402
20131029:1000,26.19,40.3,454,632.19,142,354.6,0.21,5,90384
20131029:1100,25.67,44.2,237,452.66,103,354.2,0.28,13,90393
20131029:1200,24.18,55.95,34,110.57,26,351.8,0.34,53,90438
20131029:1300,22.27,61.5,0,0,0,346,0.62,85,90464
20131029:1400,21.1,63.5,0,0,0,341.8,0.97,107,90554
20131029:1500,19.17,72.75,0,0,0,338.6,1.24,116,90625
20131029:1600,17.98,77.2,0,0,0,336.6,1.38,127,90643
20131029:1700,17.18,79.8,0,0,0,334.4,1.31,135,90652
20131029:1800,16.8,80.05,0,0,0,332.8,1.31,143,90616
20131029:1900,16.67,80.5,0,0,0,331.2,1.17,147,90616
20131029:2000,16.55,79.9,0,0,0,330.2,1.17,153,90616
20131029:2100,16.43,79.7,0,0,0,329.2,1.17,163,90572
20131029:2200,16.12,80.9,0,0,0,327.6,1.24,171,90607
20131029:2300,15.99,81.5,0,0,0,326.6,1.24,177,90625
20131030:0000,15.82,82.5,0,0,0,325.6,1.31,179,90670
20131030:0100,15.62,83.5,0,0,0,324.45,1.31,177,90723
20131030:0200,17.44,83.3,150,333,79,325.4,0.9,178,90795
20131030:0300,21.75,68.4,370,566.67,131,331.2,1.1,190,90884
20131030:0400,23.26,58.8,566,678.52,162,339.8,1.59,201,90893
20131030:0500,24.24,53.95,719,755.87,173,347.6,1.17,217,90902
20131030:0600,25.05,49.15,810,802.36,173,354.2,0.21,276,90839
20131030:0700,25.62,48.3,834,837.04,160,369.8,0.62,330,90714
20131030:0800,26,45.9,764,786.23,170,379.6,0.76,330,90616
20131030:0900,26.09,44.7,636,735.93,159,381.2,0.9,331,90491
20131030:1000,26.08,44,448,619.77,144,369.6,0.9,331,90482
20131030:1100,25.52,48.95,233,439.87,104,361.4,0.55,324,90473
20131030:1200,24.43,51.75,28,71.53,23,356.2,0.21,306,90527
20131030:1300,23.2,55.15,0,0,0,351,0.07,128,90545
20131030:1400,22.25,58.85,0,0,0,347.4,0.34,128,90625
20131030:1500,20.69,67.05,0,0,0,348,0.83,122,90688
20131030:1600,18.67,77.65,0,0,0,342.8,1.24,123,90723
20131030:1700,17.55,83.5,0,0,0,345.4,1.38,130,90732
20131030:1800,16.95,85.95,0,0,0,344.8,1.38,141,90688
20131030:1900,17.12,86.35,0,0,0,359.8,1.31,162,90688
20131030:2000,17.48,85.2,0,0,0,372.8,1.31,171,90661
20131030:2100,17.23,85,0,0,0,356.8,1.31,177,90625
20131030:2200,17.03,84.5,0,0,0,353.8,1.24,182,90625
20131030:2300,16.91,83.05,0,0,0,348,1.17,187,90643
20131031:0000,16.71,82.2,0,0,0,342,1.17,187,90670
20131031:0100,16.69,80.85,0,0,0,335.85,1.1,185,90714
20131031:0200,18.28,80.2,147,322.7,79,345.2,0.62,185,90804
20131031:0300,21.77,65.75,367,565.68,130,338,0.9,197,90875
20131031:0400,23.16,58.8,563,676.94,162,345.6,1.17,208,90911
20131031:0500,24.17,54.4,716,755.09,173,351.8,0.55,206,90884
20131031:0600,25.05,50.2,807,800.7,174,354.4,0.21,118,90786
20131031:0700,25.77,47.8,830,836.82,159,368.2,0.41,182,90670
20131031:0800,26.21,45.45,765,800.33,163,369.2,0.48,195,90580
